"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2275001194.693","2456156639.11652","2600636441.41749","2790682950.598","3019627868.09031","3096542135.39847","3133260565.77017","3354057489.24256","3420869839.91215","3463221648.91387","3727000980.15587","3616262212.9161","3497878574.78335","3566980819.1811","3849184770.50407","3895927320.69771","3936858226.41296","4007730570.66551","4004095236.563","3582874486.54068","3450844508.80398","3569762499.92863","3520861643.76522","3668675595.35006","3679681622.13611","3889423506.82798","3971101384.35631","4050523376.47918","","","",
"Afghanistan","AFG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26890054381.3088","29265058685.8326","29678901142.6306","33011757108.255","34780330055.6447","39589169625.8776","41143038129.2921","49943751387.1467","57116893442.8945","57360414055.6191","64675178727.7476","68297470347.5402","70158264544.3235","71176481719.0541","72785293845.6461","74711922904.5459","75600418107.4251","78557606646.5963","",
"Angola","AGO","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68524299956.2213","69203621977.5983","65163320249.051","49534929134.6161","50198381863.7314","57728139157.7801","65547051778.05","70315126122.1511","73613711665.7012","75219587217.0244","77517262957.102","80777637917.8797","91816456696.4398","94561631036.5231","104918835770.191","120686998750.232","134623551003.143","153484335057.563","170622608225.526","172087766086.568","179666395220.529","185904369961.674","201784670079.693","211782181648.306","221995647525.415","224090335322.844","218308693423.998","217987314775.762","213619656135.168","212285293091.615","",
"Albania","ALB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16195676087.004","11660539926.9667","10822483988.9681","11857049789.0284","12841524814.6551","14552315553.8443","15876576188.2754","14142856595.2564","15391683237.1329","17375655311.8988","18583269634.6349","20123835700.7","21037449920.8601","22200831583.8659","23424097114.0161","24719429729.2607","26177896837.0728","27743330365.3989","29824071697.815","30823197941.0319","31965780692.4321","32779412691.2479","33244069386.2247","33577170689.6615","34172993146.3113","34931207194.3727","36089108510.8784","37461287688.1091","38986449578.8002","39859773444.2585","",
"Andorra","AND","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2158550428780.25","2207632810000","2314079250062.75","2375123342819.85","2444034769362.93","2509289208063.84","2625248815975.61","2730598772034.5","2874791786971.14","2931440635308.06","3088922541643.03","3141953072625.44","3162053421459.01","3327782528418.95","3615106959154.3","3816657587572.84","4049933033988.92","4236788713066.94","4487672534190.78","4528050132394.75","4736757161650.11","4914059762937.76","5212453069958","5375067420837.58","5515878411864.05","5719217341783.48","5924432352505.97","5995385084147.6","6138205654834.28","6248163116422.05","",
"United Arab Emirates","ARE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203786719178.689","205539451958.239","212414633295.573","215093587430.353","229926760742.207","245304001450.146","259527718632.816","280784073372.141","281603946998.396","289776695172.045","321225302776.111","325719517900.872","333645761691.907","363008393126.668","397735361042.71","417045974408.983","458072120514.041","472658924108.022","487745423109.944","462173311472.904","469581071344.807","502124315109.429","524642713123.495","551154723764.687","574767865909.369","604115150946.678","622606900098.651","637384703420.793","644968661273.374","655789431888.859","",
"Argentina","ARG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461383067225.134","503521692888.535","543487677702.974","588091597672.109","622413803633.763","604704826275.256","638124986393.31","689883602495.486","716445355059.163","692190405344.027","686729030389.609","656452248385.956","584935157778.609","636626116300.301","694110738122.919","755551060130.694","816351398602.519","889885482502.201","925990210881.201","871185248045.656","959396223087.488","1016997908864.26","1006559234306.53","1030770242937.09","1004870951890.66","1032315583654.85","1010840035132.42","1039330591569.37","1012668104736.11","991523444188.129","",
"Armenia","ARM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18327906064.5098","16183541332.9899","9418820611.43951","8589964511.29035","9053822833.63031","9678536466.07655","10246221416.4922","10586506596.0205","11359321576.2289","11734179188.3105","12426495760.7871","13619439353.7327","15417205348.1442","17575614097.1234","19421053577.114","22120580024.1606","25040496587.2317","28471044620.0698","30435546698.9769","26144134614.2082","26719305575.777","27975112937.4842","29989321069.253","30978968664.5384","32094211536.6445","33121226305.4854","33187468758.0387","35676528915.4363","37531708418.9153","40384118258.2046","",
"American Samoa","ASM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","966654847.157381","987694849.722177","999137049.523147","1051890273.87083","1122121906.50468","1073202021.45363","1144081216.6836","1206680861.57754","1263770442.59562","1310626221.87155","1391930018.53716","1328624992.95817","1342275843.7566","1423839821.82243","1505953071.73319","1603445933.30164","1807214224.14833","1975563153.71117","1975279845.07537","1738983097.39176","1602636480.0565","1571247039.57167","1624243099.89289","1614483406.48004","1675764798.94618","1739867714.15252","1835521960.49272","1893259104.10692","2033155752.10302","2127873345.40241","",
"Australia","AUS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","534253276251.775","532127922158.072","534321272040.878","555853919502.697","577998529066.45","600180698208.946","623459218503.373","648188963210.958","677854554628.537","712246177178.302","740259794710.13","754553157158.696","784745877836.565","808177874340.684","840953139846.61","867899547278.98","892153321462.839","926449749907.859","960338851197.2","978940556359.173","999179341091.187","1023786693378.39","1063900323475.97","1091401058484.28","1119047498754.94","1143584264937.26","1175269007501.75","1202307371144.15","1237766851372.32","1264514452068.92","",
