"{""id"": 1357418458439417861"," ""conversation_id"": ""1357418458439417861"""," ""created_at"": ""2021-02-04 20:59:14 CET"""," ""date"": ""2021-02-04"""," ""time"": ""20:59:14"""," ""timezone"": ""+0100"""," ""user_id"": 307077615"," ""username"": ""gcfr59"""," ""name"": ""Nwabasili Onyebuchi⭕"""," ""place"": """""," ""tweet"": ""The new Police Act 2020"," allows ony for a single term of four years without extension for the IGP office.  Buhari @MBuhari should be taken to court."""," ""language"": ""en"""," ""mentions"": [{""screen_name"": ""mbuhari"""," ""name"": ""muhammadu buhari"""," ""id"": ""2936714848""}]"," ""urls"": []"," ""photos"": []"," ""replies_count"": 0"," ""retweets_count"": 0"," ""likes_count"": 0"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/gcfr59/status/1357418458439417861"""," ""retweet"": false"," ""quote_url"": ""https://twitter.com/channelstv/status/1357394889621843968"""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": []"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1357320194029473794"," ""conversation_id"": ""1357320194029473794"""," ""created_at"": ""2021-02-04 14:28:46 CET"""," ""date"": ""2021-02-04"""," ""time"": ""14:28:46"""," ""timezone"": ""+0100"""," ""user_id"": 556846920"," ""username"": ""tadepta"""," ""name"": ""Just My View"""," ""place"": """""," ""tweet"": ""Bandits with AK47? Something is certainly wrong somewhere. To imagine President Buhari is a retired military General. @Gidi_Traffic  https://t.co/EYEB2VwFHe"""," ""language"": ""en"""," ""mentions"": [{""screen_name"": ""gidi_traffic"""," ""name"": ""giditraffic"""," ""id"": ""378809160""}]"," ""urls"": []"," ""photos"": [""https://pbs.twimg.com/media/EtYrhTHWYAY7QDx.jpg""]"," ""replies_count"": 0"," ""retweets_count"": 0"," ""likes_count"": 0"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/TadePTA/status/1357320194029473794"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 1"," ""thumbnail"": ""https://pbs.twimg.com/media/EtYrhTHWYAY7QDx.jpg"""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": []"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1357290796546940931"," ""conversation_id"": ""1357290796546940931"""," ""created_at"": ""2021-02-04 12:31:57 CET"""," ""date"": ""2021-02-04"""," ""time"": ""12:31:57"""," ""timezone"": ""+0100"""," ""user_id"": 82211702"," ""username"": ""dharray007"""," ""name"": ""Dare Akinyemi"""," ""place"": """""," ""tweet"": ""Buhari's regime would be remembered for massive infrastructure done.  It would also be remembered for massive debts", pushing more Nigerians into poverty, insecurity challenges, little economic growth," massive devaluation of Naira and highest unemployment figures"""," ""language"": ""en"""," ""mentions"": []"," ""urls"": []"," ""photos"": []"," ""replies_count"": 2"," ""retweets_count"": 0"," ""likes_count"": 0"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/Dharray007/status/1357290796546940931"""," ""retweet"": false"," ""quote_url"": ""https://twitter.com/toluogunlesi/status/1357286847089672198"""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": []"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1357220128241422336"," ""conversation_id"": ""1357220128241422336"""," ""created_at"": ""2021-02-04 07:51:09 CET"""," ""date"": ""2021-02-04"""," ""time"": ""07:51:09"""," ""timezone"": ""+0100"""," ""user_id"": 1328285803844415489"," ""username"": ""annieberry08"""," ""name"": ""Annieberry08"""," ""place"": """""," ""tweet"": ""No be say them no go check you but nah you go balance them🤓#blog #Buhari"""," ""language"": ""en"""," ""mentions"": []"," ""urls"": []"," ""photos"": []"," ""replies_count"": 0"," ""retweets_count"": 0"," ""likes_count"": 1"," ""hashtags"": [""blog"""," ""buhari""]"," ""cashtags"": []"," ""link"": ""https://twitter.com/annieberry08/status/1357220128241422336"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": []"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1357094221723930631"," ""conversation_id"": ""1357089949783379972"""," ""created_at"": ""2021-02-03 23:30:50 CET"""," ""date"": ""2021-02-03"""," ""time"": ""23:30:50"""," ""timezone"": ""+0100"""," ""user_id"": 79685367"," ""username"": ""presidentnm"""," ""name"": ""Nnamdi"""," ""place"": """""," ""tweet"": ""@Omachonu18 @akaebube Even in parody", you are defending your )¥=# !,"# ?!@/÷= Buhari. I hope they are paying you well."""," ""language"": ""en"""," ""mentions"": []"," ""urls"": []"," ""photos"": []"," ""replies_count"": 0"," ""retweets_count"": 0"," ""likes_count"": 1"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/presidentnm/status/1357094221723930631"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": [{""screen_name"": ""Omachonu18"""," ""name"": ""Joel Attah Friday"""," ""id"": ""1333789480277315593""}"," {""screen_name"": ""akaebube"""," ""name"": ""Ebube The Statesman"""," ""id"": ""135184183""}]"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1356978763247083524"," ""conversation_id"": ""1356978763247083524"""," ""created_at"": ""2021-02-03 15:52:03 CET"""," ""date"": ""2021-02-03"""," ""time"": ""15:52:03"""," ""timezone"": ""+0100"""," ""user_id"": 379702863"," ""username"": ""orlahmihance"""," ""name"": ""SURVEYOR OLAMILEKAN"""," ""place"": """""," ""tweet"": ""JUST IN: President Buhari appoints AIG Zanna Muhammed as Acting IGP.  Congratulations to our new Acting IGP.  May Almighty Allah guide you in discharging your duties Sir.  https://t.co/XtQ8wcvLKD"""," ""language"": ""en"""," ""mentions"": []"," ""urls"": []"," ""photos"": [""https://pbs.twimg.com/media/EtT0_O8WYAEcg0r.jpg""]"," ""replies_count"": 0"," ""retweets_count"": 0"," ""likes_count"": 0"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/orlahmihance/status/1356978763247083524"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 1"," ""thumbnail"": ""https://pbs.twimg.com/media/EtT0_O8WYAEcg0r.jpg"""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": []"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1356913044379627525"," ""conversation_id"": ""1356911608031764481"""," ""created_at"": ""2021-02-03 11:30:54 CET"""," ""date"": ""2021-02-03"""," ""time"": ""11:30:54"""," ""timezone"": ""+0100"""," ""user_id"": 1643624460"," ""username"": ""oke_alusi"""," ""name"": ""Big Daddy K"""," ""place"": """""," ""tweet"": ""@taofeeqxx Nobody did any restrospective analysis for Buhari? Stop lying. And this is false equivalence. Buhari was a military dictator with full power. You’re maligning Peter for actions of a force not under his direct control"""," ""language"": ""en"""," ""mentions"": []"," ""urls"": []"," ""photos"": []"," ""replies_count"": 1"," ""retweets_count"": 0"," ""likes_count"": 0"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/oke_alusi/status/1356913044379627525"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": [{""screen_name"": ""taofeeqxx"""," ""name"": ""Kainené"""," ""id"": ""927662862415417344""}]"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1356704589580484609"," ""conversation_id"": ""1356704589580484609"""," ""created_at"": ""2021-02-02 21:42:35 CET"""," ""date"": ""2021-02-02"""," ""time"": ""21:42:35"""," ""timezone"": ""+0100"""," ""user_id"": 704227792"," ""username"": ""iamdennisjimmy"""," ""name"": ""Dennis Jimmy Samson"""," ""place"": """""," ""tweet"": ""Buhari is back to Abuja.  #WelcomeBackSayBaba  #DennisTalks"""," ""language"": ""in"""," ""mentions"": []"," ""urls"": []"," ""photos"": []"," ""replies_count"": 0"," ""retweets_count"": 0"," ""likes_count"": 0"," ""hashtags"": [""welcomebacksaybaba"""," ""dennistalks""]"," ""cashtags"": []"," ""link"": ""https://twitter.com/iamdennisjimmy/status/1356704589580484609"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": []"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1356539504526569472"," ""conversation_id"": ""1356526957635207168"""," ""created_at"": ""2021-02-02 10:46:35 CET"""," ""date"": ""2021-02-02"""," ""time"": ""10:46:35"""," ""timezone"": ""+0100"""," ""user_id"": 1326869123540918274"," ""username"": ""snowball692"""," ""name"": ""Snowball69"""," ""place"": """""," ""tweet"": ""@LagosTalks913 @godwin_buebu @ayeniadu Wow! Unbelievable","but president Buhari declared that he has 150 cattles as one of his assets in 2015 n still declared the same in 2019.Does that means cattles don't reproduce?How will you expect a man that has 150 cattles in 2015 that can multiple them in 2019 to move a nation f"""," ""language"": ""en"""," ""mentions"": []"," ""urls"": []"," ""photos"": []"," ""replies_count"": 0"," ""retweets_count"": 0"," ""likes_count"": 1"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/Snowball692/status/1356539504526569472"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": [{""screen_name"": ""LagosTalks913"""," ""name"": ""Lagos Talks"""," ""id"": ""4923813761""}"," {""screen_name"": ""godwin_buebu"""," ""name"": ""Godwin Etakibuebu"""," ""id"": ""708130551014760448""}"," {""screen_name"": ""ayeniadu"""," ""name"": ""Ayeni Adu"""," ""id"": ""544477609""}]"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1356284508220354563"," ""conversation_id"": ""1356203593624416263"""," ""created_at"": ""2021-02-01 17:53:19 CET"""," ""date"": ""2021-02-01"""," ""time"": ""17:53:19"""," ""timezone"": ""+0100"""," ""user_id"": 570748427"," ""username"": ""lerries"""," ""name"": ""Lawal"""," ""place"": """""," ""tweet"": ""@DeleMomodu from your circle of friends I assume your are a progressive  politically"," only thing remaining  is for you to support Buhari."""," ""language"": ""en"""," ""mentions"": []"," ""urls"": []"," ""photos"": []"," ""replies_count"": 0"," ""retweets_count"": 0"," ""likes_count"": 0"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/lerries/status/1356284508220354563"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": [{""screen_name"": ""DeleMomodu"""," ""name"": ""Dele Momodu Ovation"""," ""id"": ""25238117""}]"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""id"": 1356191065624223745"," ""conversation_id"": ""1356191059391426562"""," ""created_at"": ""2021-02-01 11:42:01 CET"""," ""date"": ""2021-02-01"""," ""time"": ""11:42:01"""," ""timezone"": ""+0100"""," ""user_id"": 20421463"," ""username"": ""trinisoftinc"""," ""name"": ""Segun"""," ""place"": """""," ""tweet"": ""If you want to criticize buhari", I don’t think there’s shortage or materials. If you want to make fun of the APC led FG, you can’t run out of materials soon. But let’s realize that after Buhari is gone," Nigeria will be still here. Na all of us go still suffer the effects."""," ""language"": ""en"""," ""mentions"": []"," ""urls"": []"," ""photos"": []"," ""replies_count"": 0"," ""retweets_count"": 2"," ""likes_count"": 0"," ""hashtags"": []"," ""cashtags"": []"," ""link"": ""https://twitter.com/trinisoftinc/status/1356191065624223745"""," ""retweet"": false"," ""quote_url"": """""," ""video"": 0"," ""thumbnail"": """""," ""near"": """""," ""geo"": ""6.45506",3.39418,"5km"""," ""source"": """""," ""user_rt_id"": """""," ""user_rt"": """""," ""retweet_id"": """""," ""reply_to"": []"," ""retweet_date"": """""," ""translate"": """""," ""trans_src"": """""," ""trans_dest"": """"}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
